donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	L_lactis	M_lcts_e	0.1828888721962911	0.5343009731830941	1.0	kefir	MILK
L_lactis	environment	M_gal_e	0.1478618718807051	0.8207462661718998	0.04	kefir	MILK
L_kefiranofaciens	environment	M_ac_e	0.09742694192354545	1.65007633173868	1.0	kefir	MILK
L_lactis	environment	M_co2_e	0.0668549755883788	1.5191032751651072	1.0	kefir	MILK
environment	L_mesenteroides	M_lcts_e	0.06501634587993031	0.18994210232305153	0.93	kefir	MILK
L_lactis	L_kefiranofaciens	M_acald_e	0.06116705679363703	1.3885067963070576	1.0	kefir	MILK
L_lactis	L_mesenteroides	M_glyc_e	0.04383273081738986	0.47595900706770683	0.22	kefir	MILK
L_lactis	environment	M_12ppd__S_e	0.042219314760318156	0.5548303319221616	0.69	kefir	MILK
L_mesenteroides	environment	M_co2_e	0.03885455951455274	0.8828675516548187	1.0	kefir	MILK
environment	L_kefiranofaciens	M_lcts_e	0.03788311889329022	0.11067369517250648	1.0	kefir	MILK
L_lactis	environment	M_2h3mb_e	0.027938143896194312	0.23853719255511577	0.99	kefir	MILK
environment	L_kefiranofaciens	M_o2_e	0.02761340679783591	0.8629513231069887	1.0	kefir	MILK
L_mesenteroides	environment	M_2mpa_e	0.026456254310667542	0.30375655517782535	0.99	kefir	MILK
L_kefiranofaciens	L_lactis	M_gal_e	0.021096171599024157	0.11709985711793347	0.76	kefir	MILK
L_kefiranofaciens	environment	M_gal_e	0.01502066695393315	0.08337616831875787	0.26	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_acald_e	0.014370850578876422	0.3262217399931994	0.51	kefir	MILK
environment	L_kefiranofaciens	M_orn_e	0.013116663757024812	0.09849681874247052	1.0	kefir	MILK
L_kefiranofaciens	environment	M_co2_e	0.010210687398619052	0.23201098396071418	1.0	kefir	MILK
L_kefiranofaciens	environment	M_ptrc_e	0.007823939659934297	0.08677184573406505	1.0	kefir	MILK
L_mesenteroides	environment	M_2mba_e	0.007718035446006948	0.07632294252375758	0.62	kefir	MILK
environment	L_lactis	M_ser__L_e	0.007566676413855182	0.07200029320754407	0.53	kefir	MILK
L_lactis	environment	M_glyc_e	0.00717175766440874	0.07787474321649997	0.04	kefir	MILK
environment	L_lactis	M_glu__L_e	0.007111130295023509	0.04866603907052038	0.65	kefir	MILK
L_lactis	environment	M_h2s_e	0.005986953716334541	0.17566940084547727	0.02	kefir	MILK
L_mesenteroides	environment	M_h2s_e	0.005958471400509451	0.17483367175974304	1.0	kefir	MILK
environment	L_mesenteroides	M_thr__L_e	0.005913186821616681	0.04964108790230158	1.0	kefir	MILK
environment	L_lactis	M_gly_e	0.0057044329835036515	0.07599182834801792	0.98	kefir	MILK
environment	L_lactis	M_thr__L_e	0.005523533102017672	0.046369952534928774	0.76	kefir	MILK
A_fabarum	environment	M_ptrc_e	0.004926474596715371	0.054637345416665234	0.01	kefir	MILK
A_fabarum	environment	M_succ_e	0.004837348143748314	0.041675409605661254	0.99	kefir	MILK
L_lactis	environment	M_4abut_e	0.004822910632942885	0.046770158020148354	0.37	kefir	MILK
environment	L_mesenteroides	M_ser__L_e	0.004818064730687025	0.04584602992499951	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asp__L_e	0.004654097432247149	0.03523309019109159	0.89	kefir	MILK
L_lactis	A_fabarum	M_4abut_e	0.004573134946108252	0.044347959221138336	0.31	kefir	MILK
environment	A_fabarum	M_glu__L_e	0.00414838588923918	0.028390073221776342	0.68	kefir	MILK
environment	L_lactis	M_asp__L_e	0.0036682844170402595	0.027770152557754176	0.7	kefir	MILK
environment	L_lactis	M_val__L_e	0.0034735346747326386	0.02965135506008011	0.99	kefir	MILK
L_lactis	environment	M_2mpa_e	0.003403562944041319	0.039077888467228095	0.01	kefir	MILK
L_lactis	environment	M_nh4_e	0.002948718622071153	0.16346987366166177	0.94	kefir	MILK
environment	L_mesenteroides	M_o2_e	0.002668195930410137	0.08338424973468182	0.91	kefir	MILK
L_kefiranofaciens	environment	M_succ_e	0.002489740191175655	0.021449963739538	1.0	kefir	MILK
environment	L_kefiranofaciens	M_gln__L_e	0.002146679432475939	0.01468878615336465	1.0	kefir	MILK
environment	L_kefiranofaciens	M_asn__L_e	0.0021326218612604153	0.01614184530494359	1.0	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ptrc_e	0.00206796243784036	0.022934854490126742	0.11	kefir	MILK
environment	L_lactis	M_gln__L_e	0.0020063506025040636	0.013728577496485069	0.97	kefir	MILK
A_fabarum	environment	M_co2_e	0.0019974486731625164	0.045386761339313464	0.99	kefir	MILK
environment	A_fabarum	M_o2_e	0.001949321904257847	0.060918593955331043	1.0	kefir	MILK
L_mesenteroides	environment	M_nh4_e	0.0018487302603401696	0.10248916252308528	0.81	kefir	MILK
environment	L_lactis	M_asn__L_e	0.0018487155560701599	0.01399295442900991	1.0	kefir	MILK
L_lactis	environment	M_R_3hhxa_e	0.0017890618870882516	0.01364141392358367	1.0	kefir	MILK
L_lactis	A_fabarum	M_glyc_e	0.001781912017846153	0.019348944473238105	1.0	kefir	MILK
environment	L_kefiranofaciens	M_leu__L_e	0.0017365309831330767	0.013238539381249985	1.0	kefir	MILK
L_lactis	environment	M_3mba_e	0.0015512421260532225	0.015340090681812742	0.02	kefir	MILK
environment	L_mesenteroides	M_ile__L_e	0.0014191655425102618	0.01081908650379395	0.64	kefir	MILK
L_lactis	environment	M_acac_e	0.0013788809401027995	0.01364141392358367	1.0	kefir	MILK
L_mesenteroides	environment	M_3mba_e	0.0013531076626378097	0.01338075719999337	0.25	kefir	MILK
environment	L_kefiranofaciens	M_val__L_e	0.0013523222155532577	0.011543914175001068	1.0	kefir	MILK
environment	L_mesenteroides	M_val__L_e	0.0013518705463564146	0.01154005856249698	0.4	kefir	MILK
environment	L_kefiranofaciens	M_ser__L_e	0.0012874920649563293	0.0122510599250024	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_arg__L_e	0.0012410452544441538	0.007083256069741866	0.84	kefir	MILK
environment	L_kefiranofaciens	M_ile__L_e	0.0011996654906803858	0.009145715796008808	1.0	kefir	MILK
L_kefiranofaciens	L_lactis	M_orn__L_e	0.0011956728918833385	0.008978653283236401	0.86	kefir	MILK
environment	L_kefiranofaciens	M_lys__L_e	0.0011804957802886058	0.00801995028556428	0.78	kefir	MILK
L_lactis	L_mesenteroides	M_acald_e	0.0011537381994653415	0.026190132648058705	0.29	kefir	MILK
L_lactis	environment	M_2h3mp_e	0.0010981947541782585	0.008373622689394901	0.06	kefir	MILK
A_fabarum	environment	M_4abut_e	0.0010896394934122296	0.01056677495614045	0.03	kefir	MILK
L_lactis	L_mesenteroides	M_rib__D_e	0.0010627924657685259	0.007079171420463839	0.12	kefir	MILK
environment	L_mesenteroides	M_leu__L_e	0.0010297675226551063	0.007850489299998369	1.0	kefir	MILK
environment	L_mesenteroides	M_ala__L_e	0.001026173331149019	0.011518014691956586	0.25	kefir	MILK
environment	L_mesenteroides	M_gln__L_e	0.0009950892726787038	0.0068089596000023515	1.0	kefir	MILK
A_fabarum	environment	M_nh4_e	0.0009235819808844727	0.051201165347315024	0.97	kefir	MILK
environment	L_kefiranofaciens	M_gua_e	0.0009147405147412504	0.006052837500000002	1.0	kefir	MILK
environment	L_lactis	M_ala__L_e	0.0009061739088512499	0.0101711125	0.01	kefir	MILK
environment	L_kefiranofaciens	M_gly_e	0.0008092765692451945	0.01078080964646226	0.99	kefir	MILK
environment	L_lactis	M_leu__L_e	0.0007789593370240203	0.0059384393136362535	1.0	kefir	MILK
environment	L_kefiranofaciens	M_thr__L_e	0.00077066420471081	0.006469710949999582	1.0	kefir	MILK
environment	L_kefiranofaciens	M_phe__L_e	0.0007652316021054977	0.004632469425000001	1.0	kefir	MILK
A_fabarum	L_kefiranofaciens	M_acald_e	0.0007491209624643638	0.017005224742905355	0.57	kefir	MILK
environment	L_kefiranofaciens	M_ade_e	0.0006901484642624933	0.005107424999999951	1.0	kefir	MILK
environment	A_fabarum	M_orn_e	0.0006399279444327402	0.0048054038678300584	0.17	kefir	MILK
environment	L_mesenteroides	M_asp__L_e	0.0006370627813305552	0.00482278051948079	0.77	kefir	MILK
environment	L_kefiranofaciens	M_pro__L_e	0.0006362521063875	0.005526374999999999	1.0	kefir	MILK
environment	L_lactis	M_lys__L_e	0.00063139436348625	0.0042895125	1.0	kefir	MILK
environment	L_lactis	M_xan_e	0.0006263997191177212	0.004118051650000436	1.0	kefir	MILK
environment	L_kefiranofaciens	M_tyr__L_e	0.0006246278559400005	0.003447400000000003	1.0	kefir	MILK
environment	A_fabarum	M_ins_e	0.0006092180146500461	0.0022712895959596923	0.99	kefir	MILK
L_kefiranofaciens	L_lactis	M_arg__L_e	0.0006071499546866817	0.0034653036111113554	0.09	kefir	MILK
L_kefiranofaciens	environment	M_nh4_e	0.0005930166398202403	0.032875417296543474	0.11	kefir	MILK
L_kefiranofaciens	environment	M_3mba_e	0.0005874866180320448	0.005809601121323499	0.34	kefir	MILK
environment	L_lactis	M_ile__L_e	0.0005546310019669628	0.004228259923329623	0.83	kefir	MILK
environment	A_fabarum	M_gln__L_e	0.0005538833835141481	0.0037899811454184477	0.99	kefir	MILK
environment	L_kefiranofaciens	M_ala__L_e	0.000532917021624657	0.005981588001116329	0.11	kefir	MILK
environment	L_mesenteroides	M_lys__L_e	0.0005051154907889999	0.0034316099999999994	1.0	kefir	MILK
L_lactis	L_kefiranofaciens	M_orn__L_e	0.0004923768421599999	0.0036974000000000004	0.09	kefir	MILK
L_lactis	L_mesenteroides	M_arg__L_e	0.0004882442495382539	0.0027866502302588054	0.43	kefir	MILK
environment	A_fabarum	M_pro__L_e	0.00048302715810962557	0.0041954897816437724	0.97	kefir	MILK
environment	L_mesenteroides	M_asn__L_e	0.00048178651392237276	0.003646648999999793	1.0	kefir	MILK
environment	L_lactis	M_ura_e	0.0004603441729976255	0.004107040208174976	0.76	kefir	MILK
L_kefiranofaciens	environment	M_2mpa_e	0.0004422983082297385	0.005078232500005607	0.19	kefir	MILK
environment	A_fabarum	M_xan_e	0.00043730038949266176	0.00287488249999942	0.02	kefir	MILK
A_fabarum	L_kefiranofaciens	M_arg__L_e	0.0004317391557898049	0.0024641478502434237	0.03	kefir	MILK
L_lactis	environment	M_pacald_e	0.0003945171276674745	0.003283587499999788	0.01	kefir	MILK
L_kefiranofaciens	environment	M_2mba_e	0.00038802059190259507	0.003837099938318877	0.47	kefir	MILK
environment	L_lactis	M_phe__L_e	0.0003879701718233623	0.0023486483749999986	1.0	kefir	MILK
environment	L_kefiranofaciens	M_his__L_e	0.00036747496499	0.0023684500000000007	1.0	kefir	MILK
A_fabarum	L_lactis	M_arg__L_e	0.00036598692359986483	0.0020888674999978017	0.01	kefir	MILK
environment	L_mesenteroides	M_gua_e	0.0003634315389311807	0.002404826300000069	1.0	kefir	MILK
environment	L_mesenteroides	M_gly_e	0.00034394148351200014	0.004581830000000001	0.17	kefir	MILK
environment	L_mesenteroides	M_ura_e	0.0003414482887140001	0.0030462900000000014	1.0	kefir	MILK
environment	L_kefiranofaciens	M_glu__L_e	0.0003371890637632887	0.00230760167096645	0.42	kefir	MILK
environment	A_fabarum	M_asn__L_e	0.00033702224621981377	0.0025509261916641986	1.0	kefir	MILK
environment	L_kefiranofaciens	M_ura_e	0.0003367005179863045	0.0030039319417870165	1.0	kefir	MILK
A_fabarum	L_lactis	M_glu__L_e	0.00031807002042648954	0.0021767577584774914	0.02	kefir	MILK
environment	L_lactis	M_tyr__L_e	0.00031231392797000004	0.0017236999999999997	1.0	kefir	MILK
environment	L_mesenteroides	M_phe__L_e	0.0003060368450550001	0.001852650000000001	1.0	kefir	MILK
L_kefiranofaciens	A_fabarum	M_ppap_e	0.0003004883320547732	0.001976345625001797	0.04	kefir	MILK
environment	L_kefiranofaciens	M_trp__L_e	0.00029021861555250005	0.001421075	1.0	kefir	MILK
environment	L_mesenteroides	M_ade_e	0.0002780698112844443	0.0020578480999984784	1.0	kefir	MILK
environment	L_mesenteroides	M_pro__L_e	0.000254500842555	0.00221055	1.0	kefir	MILK
environment	L_lactis	M_pro__L_e	0.0002521943573674943	0.002190516271309538	0.16	kefir	MILK
environment	L_mesenteroides	M_tyr__L_e	0.00024991999385385515	0.0013793399999992011	1.0	kefir	MILK
environment	A_fabarum	M_asp__L_e	0.00022319795579999133	0.0016896839444487948	0.3	kefir	MILK
environment	L_lactis	M_gua_e	0.00022117259596779438	0.0014634989499999296	1.0	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_h2s_e	0.00020881340190110034	0.0061270099851265325	1.0	kefir	MILK
L_kefiranofaciens	L_mesenteroides	M_arg__L_e	0.00020430573218502258	0.0011660733663018394	0.03	kefir	MILK
environment	A_fabarum	M_ser__L_e	0.00019512904973421964	0.0018567397395833913	0.48	kefir	MILK
environment	L_mesenteroides	M_orn_e	0.0001903926925450577	0.0014297137499966791	0.48	kefir	MILK
environment	L_lactis	M_his__L_e	0.000183737482495	0.0011842250000000003	1.0	kefir	MILK
environment	A_fabarum	M_leu__L_e	0.00014774308136100006	0.0011263274999999998	0.86	kefir	MILK
environment	L_mesenteroides	M_glu__L_e	0.0001472112415833471	0.0010074612244875623	0.49	kefir	MILK
environment	L_mesenteroides	M_his__L_e	0.00014698998599600006	0.0009473799999999998	1.0	kefir	MILK
environment	L_lactis	M_trp__L_e	0.00014510930777625002	0.0007105375	1.0	kefir	MILK
A_fabarum	environment	M_glyclt_e	0.000144544772900305	0.0019261516071428764	0.37	kefir	MILK
environment	A_fabarum	M_thr__L_e	0.00013220105496766657	0.0011098252749999716	1.0	kefir	MILK
L_lactis	A_fabarum	M_arg__L_e	0.00012718062795492754	0.0007258824379605738	0.79	kefir	MILK
environment	A_fabarum	M_lys__L_e	0.00012627887269725004	0.0008579025	1.0	kefir	MILK
environment	A_fabarum	M_val__L_e	0.00012198485989080509	0.001041307121212139	0.33	kefir	MILK
L_kefiranofaciens	A_fabarum	M_arg__L_e	0.00011947103436646194	0.0006818799929367612	0.14	kefir	MILK
environment	L_mesenteroides	M_trp__L_e	0.00011608744622100003	0.0005684300000000001	1.0	kefir	MILK
L_lactis	A_fabarum	M_anhgm_e	0.00011518198466621558	0.00024124983749997513	0.2	kefir	MILK
L_lactis	L_kefiranofaciens	M_h2s_e	0.0001049261605419839	0.003078746993673385	0.02	kefir	MILK
L_mesenteroides	L_lactis	M_h2s_e	0.0001048701675843417	0.0030771040463939145	0.97	kefir	MILK
environment	A_fabarum	M_ile__L_e	9.527346549900003e-05	0.0007263225000000001	0.99	kefir	MILK
environment	A_fabarum	M_ura_e	9.285562182150006e-05	0.0008284275000000008	1.0	kefir	MILK
environment	A_fabarum	M_gua_e	9.164884892134621e-05	0.0006064403846153849	0.13	kefir	MILK
L_lactis	L_kefiranofaciens	M_nh4_e	9.133568696824525e-05	0.005063430975659859	0.19	kefir	MILK
A_fabarum	environment	M_glx_e	8.578317258725687e-05	0.0011746694407895227	0.38	kefir	MILK
environment	A_fabarum	M_phe__L_e	7.67714524547171e-05	0.00046475002499999745	1.0	kefir	MILK
environment	A_fabarum	M_ade_e	7.6480071729895e-05	0.000565988697478992	0.34	kefir	MILK
L_kefiranofaciens	A_fabarum	M_cys__L_e	7.4633114952625e-05	0.0006159987500000001	0.06	kefir	MILK
environment	L_mesenteroides	M_thymd_e	6.338137848000002e-05	0.00026166	1.0	kefir	MILK
environment	A_fabarum	M_tyr__L_e	6.256379795975001e-05	0.00034529750000000017	1.0	kefir	MILK
environment	A_fabarum	M_gly_e	6.0217344046449787e-05	0.0008021877170937968	0.26	kefir	MILK
L_mesenteroides	L_kefiranofaciens	M_nh4_e	4.80034606896149e-05	0.002661196492441909	0.13	kefir	MILK
environment	A_fabarum	M_his__L_e	3.6747496499000014e-05	0.00023684499999999996	1.0	kefir	MILK
A_fabarum	environment	M_fald_e	3.24269961582699e-05	0.0010799675000006627	0.01	kefir	MILK
L_lactis	A_fabarum	M_acald_e	3.120499364339686e-05	0.0007083608076608054	0.05	kefir	MILK
environment	A_fabarum	M_trp__L_e	2.9021861555250006e-05	0.00014210750000000002	1.0	kefir	MILK
A_fabarum	L_kefiranofaciens	M_nh4_e	2.258322906156583e-05	0.0012519599442057082	0.19	kefir	MILK
L_mesenteroides	A_fabarum	M_h2s_e	2.0760780704920404e-05	0.0006091635379721254	0.94	kefir	MILK
L_lactis	L_kefiranofaciens	M_ala__D_e	2.0062505518545734e-05	0.0002251863562477564	0.2	kefir	MILK
A_fabarum	L_mesenteroides	M_acald_e	1.580620267691896e-05	0.0003588045753901935	0.16	kefir	MILK
L_lactis	L_mesenteroides	M_nh4_e	1.2493558910165933e-05	0.0006926128798260331	0.06	kefir	MILK
environment	L_lactis	M_o2_e	1.1613045265245747e-05	0.00036292127408670775	0.69	kefir	MILK
L_lactis	A_fabarum	M_h2s_e	1.0502125140740932e-05	0.000308153715310114	0.02	kefir	MILK
environment	L_kefiranofaciens	M_fol_e	7.348645552499967e-06	1.6724999999999922e-05	1.0	kefir	MILK
L_mesenteroides	L_lactis	M_coa_e	5.4972086400040485e-06	7.2000000000053e-06	0.33	kefir	MILK
L_lactis	L_mesenteroides	M_coa_e	4.39776691260178e-06	5.760000000788183e-06	0.66	kefir	MILK
environment	L_kefiranofaciens	M_ribflv_e	4.218924735e-06	1.1149999999999997e-05	1.0	kefir	MILK
environment	L_lactis	M_fol_e	3.6743227762505843e-06	8.36250000000133e-06	1.0	kefir	MILK
environment	L_kefiranofaciens	M_pnto__R_e	3.14246015999999e-06	1.4399999999999955e-05	1.0	kefir	MILK
environment	L_mesenteroides	M_fol_e	2.9394582209999783e-06	6.689999999999951e-06	1.0	kefir	MILK
environment	L_mesenteroides	M_pnto__R_e	2.782001494589384e-06	1.274823529412291e-05	0.34	kefir	MILK
environment	L_mesenteroides	M_nac_e	2.7814676139745183e-06	2.27799999997913e-05	1.0	kefir	MILK
A_fabarum	L_mesenteroides	M_nh4_e	2.3888426904168554e-06	0.00013243169757775708	0.06	kefir	MILK
environment	L_lactis	M_ribflv_e	2.1094623675e-06	5.574999999999998e-06	1.0	kefir	MILK
environment	L_mesenteroides	M_ribflv_e	1.6875698940000002e-06	4.460000000000002e-06	1.0	kefir	MILK
environment	L_kefiranofaciens	M_thm_e	1.4793479924997882e-06	5.5749999999992e-06	1.0	kefir	MILK
environment	L_lactis	M_thm_e	7.396739962500001e-07	2.787499999999999e-06	1.0	kefir	MILK
environment	A_fabarum	M_fol_e	7.34864555249828e-07	1.6724999999996083e-06	1.0	kefir	MILK
environment	L_mesenteroides	M_thm_e	5.917391970000003e-07	2.230000000000001e-06	1.0	kefir	MILK
A_fabarum	L_kefiranofaciens	M_glu__L_e	3.0897037680736177e-07	2.1144830435554218e-06	0.01	kefir	MILK
A_fabarum	L_kefiranofaciens	M_bz_e	3.0278300000000005e-07	2.5e-06	0.66	kefir	MILK
A_fabarum	L_kefiranofaciens	M_oxa_e	2.2004750000000005e-07	2.5e-06	0.03	kefir	MILK
L_kefiranofaciens	environment	M_oxa_e	2.185605123480202e-07	2.4831060606007818e-06	0.33	kefir	MILK
A_fabarum	environment	M_oxa_e	2.025337194315084e-07	2.301022727269207e-06	0.66	kefir	MILK
L_lactis	environment	M_dhptd_e	1.651428750000001e-07	1.25e-06	1.0	kefir	MILK
L_kefiranofaciens	L_mesenteroides	M_nh4_e	3.900846550330732e-08	2.1625355772610126e-06	0.01	kefir	MILK
L_mesenteroides	A_fabarum	M_acald_e	2.482184013638904e-08	5.634616987131017e-07	0.01	kefir	MILK
